step,L_uH,r_1_mOhm,C_uF,r_C_mOhm,avg_vout,ripple_vout,std_vout,min_vout,max_vout,delta_avg_vout,delta_ripple_vout,delta_std_vout,health_index,RUL,is_anomaly,label,fault_type,sim_success,healthy_avg_vout,healthy_ripple_vout,healthy_std_vout
67,0.499974662745441,5.00152023527355,129.986800547522,3.00152023527355,3.64582396945944,0.0911294366013511,0.0235503755230978,3.60733544549508,3.69846488209643,-0.00381568921381747,-0.0518494271229981,-0.00747351864627383,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
68,0.499974657677483,5.00152053935101,129.986796493156,3.00152053935101,3.64582396578658,0.0911294380599936,0.0235503752566169,3.60733544030398,3.69846487836398,-0.00381569288667727,-0.0518494256643556,-0.00747351891275476,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
69,0.499974652608512,5.00152084348929,129.986792437979,3.00152084348929,3.64582396211298,0.0911294395180202,0.0235503749899986,3.60733543511286,3.69846487463088,-0.00381569656027425,-0.051849424206329,-0.00747351917937306,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
70,0.499974647538526,5.00152114768841,129.986788381991,3.00152114768841,3.64582395843861,0.0911294409772654,0.0235503747234943,3.60733542991988,3.69846487089715,-0.0038157002346475,-0.0518494227470838,-0.00747351944587729,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
71,0.499974642467527,5.00152145194837,129.986784325191,3.00152145194837,3.64582395476352,0.0911294424371185,0.0235503744569496,3.60733542472565,3.69846486716277,-0.00381570390973573,-0.0518494212872307,-0.00747351971242205,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
72,0.499974637395513,5.00152175626919,129.98678026758,3.00152175626919,3.64582395108775,0.0911294438963206,0.0235503741902425,3.60733541953135,3.69846486342767,-0.00381570758551009,-0.0518494198280286,-0.0074735199791291,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
73,0.499974632322485,5.00152206065088,129.986776209158,3.00152206065088,3.64582394741122,0.09112944535635,0.0235503739235375,3.60733541433522,3.69846485969157,-0.00381571126204205,-0.0518494183679992,-0.00747352024583416,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
74,0.499974627248442,5.00152236509346,129.986772149924,3.00152236509346,3.64582394373394,0.0911294468165695,0.0235503736567622,3.60733540913831,3.69846485595488,-0.00381571493931565,-0.0518494169077797,-0.00747352051260947,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
75,0.499974622173385,5.00152266959692,129.986768089877,3.00152266959692,3.645823940056,0.0911294482775213,0.0235503733898384,3.60733540394011,3.69846485221763,-0.00381571861726204,-0.0518494154468279,-0.0074735207795332,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
76,0.499974617097312,5.0015229741613,129.986764029019,3.0015229741613,3.64582393637721,0.0911294497378203,0.0235503731229422,3.60733539874129,3.69846484847911,-0.0038157222960522,-0.0518494139865289,-0.0074735210464294,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
77,0.499974612020223,5.00152327878659,129.986759967348,3.00152327878659,3.64582393269774,0.0911294511995653,0.0235503728561069,3.60733539354085,3.69846484474041,-0.0038157259755156,-0.0518494125247839,-0.00747352131326467,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
78,0.49997460694212,5.00152358347282,129.986755904865,3.00152358347282,3.64582392901752,0.0911294526611415,0.0235503725890677,3.60733538833957,3.69846484100071,-0.00381572965574017,-0.0518494110632077,-0.00747352158030388,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
79,0.499974601863,5.00152388821999,129.98675184157,3.00152388821999,3.64582392533658,0.0911294541231071,0.0235503723220633,3.60733538313741,3.69846483726052,-0.0038157333366815,-0.0518494096012421,-0.00747352184730831,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
80,0.499974596782865,5.00152419302811,129.986747777461,3.00152419302811,3.64582392165485,0.0911294555844453,0.0235503720549654,3.60733537793465,3.69846483351909,-0.00381573701841198,-0.0518494081399039,-0.00747352211440617,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
81,0.499974591701713,5.0015244978972,129.98674371254,3.0015244978972,3.64582391797244,0.0911294570467072,0.0235503717878332,3.60733537273057,3.69846482977728,-0.00381574070082236,-0.051849406677642,-0.00747352238153837,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
82,0.499974586619545,5.00152480282727,129.986739646806,3.00152480282727,3.64582391428924,0.0911294585092515,0.0235503715205592,3.60733536752515,3.6984648260344,-0.003815744384013,-0.0518494052150977,-0.00747352264881247,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
83,0.499974581536361,5.00152510781834,129.986735580258,3.00152510781834,3.64582391060536,0.0911294599721666,0.0235503712533313,3.60733536231882,3.69846482229098,-0.00381574806790219,-0.0518494037521826,-0.00747352291604028,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
84,0.49997457645216,5.0015254128704,129.986731512898,3.0015254128704,3.64582390692075,0.0911294614358491,0.0235503709860641,3.60733535711121,3.69846481854705,-0.00381575175250592,-0.0518494022885001,-0.00747352318330755,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
85,0.499974571366942,5.00152571798349,129.986727444723,3.00152571798349,3.64582390323537,0.0911294628988468,0.0235503707185934,3.60733535190294,3.69846481480179,-0.00381575543788504,-0.0518494008255024,-0.00747352345077824,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
86,0.499974566280707,5.0015260231576,129.986723375735,3.0015260231576,3.64582389954928,0.0911294643625853,0.0235503704512466,3.60733534669357,3.69846481105615,-0.00381575912398135,-0.0518493993617639,-0.00747352371812502,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
87,0.499974561193454,5.00152632839275,129.986719305933,3.00152632839276,3.64582389586243,0.0911294658266519,0.0235503701837789,3.60733534148336,3.69846480731002,-0.00381576281082507,-0.0518493978976973,-0.00747352398559267,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
88,0.499974556105184,5.00152663368896,129.986715235317,3.00152663368896,3.64582389217486,0.0911294672902265,0.0235503699161562,3.60733533627218,3.69846480356241,-0.00381576649840065,-0.0518493964341227,-0.00747352425321543,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
